id,req1_id,req1,req2_id,req2,cosine,label
1965,24,A graphic area GUI class provides function to draw dependency.,34,A graphic area GUI class provides a function to draw dependency.,1,0
2034,25,A graphic area GUI class uses an object of task manager to add dependencies.,35,A graphic area GUI class uses an object of the task manager to add dependencies,1,0
3243,46,GUI needs to provide ability to assign tasks to people.,47,GUI needs to provide ability to assign people to tasks.,1,3
3705,57,When deleting a task,58,When deleting a task,1,3
2480,32,Every time Start/End time of a subtask changes,33,Every time Start/End time for a task changes,0.896613197,1
784,8,Task property GUI class provides interface and functions to add and remove human resource assignments.,77,A GUI of task property provides interface and functions to add and remove human resource assignments by using an object of the resource assignments collection class.,0.885118273,3
83,0,A class is used to represent the dependency between one task and one human resource.,84,A human resource assignment class is used to represent the relationship between one task and one human resource.,0.852736932,3
543,6,The human resource class can have objects of resource assignments which assigns this resource to tasks.,7,The human resource class provides functions to get the list of objects of resource assignments which assigns this resource to tasks.,0.836145756,3
438,4,A collection of resource assignments provides functions to add and remove human resource assignments.,77,A GUI of task property provides interface and functions to add and remove human resource assignments by using an object of the resource assignments collection class.,0.819766948,3
1675,20,A collection of dependency class is used to manage dependencies.,26,The task manager class uses an object of dependency collection class to manage dependencies.,0.818134318,6
4022,67,"To remove tasks as subtasks, GanttTree2 class calls a method which dedent selected task nodes in GUI.",70,"To remove tasks as subtasks, a method which dedent selected task nodes in GUI is used.",0.814775755,3
176,1,The dependency class provides functions to get the task and the human resource.,85,The human resource assignment class provides functions to get the task and the human resource.,0.791335401,3
4118,71,The task tree model provides methods to remove relationship between selected tasks and their original parents.,72,The task tree model provides methods to add relationship between selected tasks and their new parents.,0.790519294,0
3134,43,The holiday class provides functions to set the start/end date of the holiday.,82,The class for holidays provides functions to get the start/end date.,0.781066136,3
1368,16,A dependency class contains a dependant task and a dependee task.,17,A dependency class provides functions to get the dependant task and the dependee task.,0.770116054,3
2355,30,Application needs to keep track of the start and end times of the tasks.,31,Application needs to keep track of subtasks in a task.,0.748875271,0
3510,52,The task class provides a public method SetStart() which allows to specify starting date for the task.,53,The task class provides a public method SetEnd() which allows to specify ending date for the task.,0.734481272,0
133,1,The dependency class provides functions to get the task and the human resource.,42,The human resource class provides functions to change and to get holidays.,0.730916315,0
4046,68,An object of a class is used to remove relationship between selected tasks and their original parents.,69,An object of a class is used to add relationship between selected tasks and their new parents.,0.722586603,0
3941,64,"To add tasks as subtasks, a method which indent the selected task nodes in GUI and change them to be subtasks is used.",70,"To remove tasks as subtasks, a method which dedent selected task nodes in GUI is used.",0.720603281,3
