id,req1_id,req1,req2_id,req2,label
89,FR-4,Actual speed shall still be shown on the dmi.,FR-1,A special indication shall be shown on the dmi.,0
30,FR-53,Partial supervision shall be indicated on the dmi.,FR-3,Actual speed shall be indicated on the dmi.,0
182,FR-61,The current application level shall be indicated on the dmi.,FR-3,Actual speed shall be indicated on the dmi.,0
187,FR-62,The current operational status shall be indicated to the driver on the dmi.,FR-3,Actual speed shall be indicated on the dmi.,0
2,FR-100,The release speed shall be indicated on the dmi.,FR-3,Actual speed shall be indicated on the dmi.,0
158,FR-103,The supervised shunting speed shall be indicated to the driver on request.,FR-3,Actual speed shall be indicated on the dmi.,0
173,FR-3,Actual speed shall be indicated on the dmi.,FR-4,Actual speed shall still be shown on the dmi.,0
70,FR-100,The release speed shall be indicated on the dmi.,FR-4,Actual speed shall still be shown on the dmi.,0
154,FR-108,The train shall be supervised to a ceiling speed as a minimum.,FR-4,Actual speed shall still be shown on the dmi.,0
118,FR-30,"If the train or the shunting movement exceeds the permitted ceiling speed by a certain harmonised margin, the trainborne equipment shall execute a brake intervention until the actual speed does not exceed permitted speed.",FR-6,"After the acknowledgement, the driver shall be able to continue the movement.",0
94,FR-62,The current operational status shall be indicated to the driver on the dmi.,FR-6,"After the acknowledgement, the driver shall be able to continue the movement.",0
189,FR-66,The driver shall acknowledge the level transitions if requested from trackside if the driver does not acknowledge after the transition.,FR-6,"After the acknowledgement, the driver shall be able to continue the movement.",0
41,FR-69,The driver shall be able to override the function when the train is stationary.,FR-6,"After the acknowledgement, the driver shall be able to continue the movement.",0
112,FR-74,The driver shall know the distance to the next point defining the indicated braking curve and the permitted speed allowed this shall be shown to the driver in a way that is understandable and logical.,FR-6,"After the acknowledgement, the driver shall be able to continue the movement.",0
61,FR-77,The emergency stop shall be indicated to the driver on the dmi.,FR-6,"After the acknowledgement, the driver shall be able to continue the movement.",0
96,FR-128,"When the traction unit has come to a standstill, the driver shall be able to release the emergency brake.",FR-6,"After the acknowledgement, the driver shall be able to continue the movement.",0
163,FR-129,"When the traction unit is stationary, the driver shall be required to acknowledge the train trip condition.",FR-6,"After the acknowledgement, the driver shall be able to continue the movement.",1
12,FR-23,"If the responsibility for the driver increases, the etcs shall seek an acknowledgement from the driver whether the train is stationary or not.",FR-18,"For transitions to and from national operation, the etcs shall request an acknowledgement by the driver.",2
